

============================== EXP at 2026-05-03 01:29:48 ==============================
dev | avg_loss: 3.1082763671875 | {'exact_match': 0.0, 'rougeL': 7.2567} | threshold: 0.0
train | epoch   0 | Iter:     10/  3570 | global iter:     10/  3570 | loss: 18.7902 | ds_loss: 1.6937 | lr: 9.9998e-05 | scale:  2048.0000 | micro time: 2.192 | step time: 2.577
train | epoch   0 | Iter:     20/  3570 | global iter:     20/  3570 | loss: 8.7200 | ds_loss: 1.6582 | lr: 9.9992e-05 | scale:  2048.0000 | micro time: 2.456 | step time: 2.476
train | epoch   0 | Iter:     30/  3570 | global iter:     30/  3570 | loss: 6.6896 | ds_loss: 1.6092 | lr: 9.9983e-05 | scale:  2048.0000 | micro time: 2.567 | step time: 2.566
train | epoch   0 | Iter:     40/  3570 | global iter:     40/  3570 | loss: 5.6998 | ds_loss: 1.4986 | lr: 9.9969e-05 | scale:  2048.0000 | micro time: 2.576 | step time: 2.563
train | epoch   0 | Iter:     50/  3570 | global iter:     50/  3570 | loss: 5.2123 | ds_loss: 1.3683 | lr: 9.9952e-05 | scale:  2048.0000 | micro time: 2.591 | step time: 2.564
train | epoch   0 | Iter:     60/  3570 | global iter:     60/  3570 | loss: 4.9535 | ds_loss: 1.4265 | lr: 9.9930e-05 | scale:  2048.0000 | micro time: 2.592 | step time: 2.584
train | epoch   0 | Iter:     70/  3570 | global iter:     70/  3570 | loss: 4.7886 | ds_loss: 1.3615 | lr: 9.9905e-05 | scale:  2048.0000 | micro time: 2.184 | step time: 2.498
train | epoch   0 | Iter:     80/  3570 | global iter:     80/  3570 | loss: 4.7589 | ds_loss: 1.3914 | lr: 9.9876e-05 | scale:  2048.0000 | micro time: 2.537 | step time: 2.558
train | epoch   0 | Iter:     90/  3570 | global iter:     90/  3570 | loss: 4.5287 | ds_loss: 1.3159 | lr: 9.9843e-05 | scale:  2048.0000 | micro time: 2.568 | step time: 2.583
train | epoch   0 | Iter:    100/  3570 | global iter:    100/  3570 | loss: 4.5239 | ds_loss: 1.3775 | lr: 9.9807e-05 | scale:  2048.0000 | micro time: 2.603 | step time: 2.591
train | epoch   0 | Iter:    110/  3570 | global iter:    110/  3570 | loss: 4.5510 | ds_loss: 1.3722 | lr: 9.9766e-05 | scale:  2048.0000 | micro time: 2.612 | step time: 2.581
